title,title_norm,year,rt_tomato,rt_audience,tomatometer_count,audience_count,tomatometer_status,audience_status
The Ghost Writer,the ghost writer,2010.0,84.0,70.0,206.0,60373.0,Certified-Fresh,Upright
Repo Men,repo men,2010.0,22.0,41.0,152.0,100490.0,Rotten,Spilled
7 Days (Les 7 jours du talion),7 days les 7 jours du talion,2010.0,80.0,68.0,15.0,1474.0,Fresh,Upright
Daddy Longlegs,daddy longlegs,2010.0,78.0,52.0,32.0,542.0,Fresh,Spilled
Veer,veer,2010.0,40.0,47.0,5.0,1151.0,Rotten,Spilled
Winter's Bone,winter s bone,2010.0,94.0,76.0,174.0,51756.0,Certified-Fresh,Upright
The Kids Are All Right,the kids are all right,2010.0,92.0,74.0,224.0,63588.0,Certified-Fresh,Upright
Lucky,lucky,2010.0,60.0,39.0,5.0,267.0,Fresh,Spilled
High School,high school,2012.0,28.0,48.0,54.0,8211.0,Rotten,Spilled
Stolen,stolen,2010.0,0.0,39.0,20.0,2695.0,Rotten,Spilled
The Killing Jar,the killing jar,2010.0,0.0,36.0,8.0,589.0,Rotten,Spilled
La MISSION,la mission,2010.0,50.0,72.0,26.0,5867.0,Rotten,Upright
Predators,predators,2010.0,64.0,52.0,202.0,159887.0,Fresh,Spilled
Stonewall Uprising,stonewall uprising,2010.0,84.0,76.0,31.0,269.0,Fresh,Upright
The Oath,the oath,2010.0,91.0,79.0,23.0,432.0,Fresh,Upright
The Wild Hunt,the wild hunt,2010.0,82.0,74.0,11.0,711.0,Fresh,Upright
Arthur,arthur,1981.0,88.0,77.0,33.0,33549.0,Fresh,Upright
The Lottery,the lottery,2010.0,64.0,76.0,14.0,390.0,Fresh,Upright
Assault on Precinct 13,assault on precinct 13,1976.0,98.0,80.0,43.0,24667.0,Certified-Fresh,Upright
Asylum,asylum,1972.0,67.0,48.0,12.0,303.0,Fresh,Spilled
Attack of the 50 Foot Woman,attack of the 50 foot woman,1958.0,75.0,20.0,12.0,8585.0,Fresh,Spilled
Avenging Angel,avenging angel,,33.0,25.0,6.0,1544.0,Rotten,Spilled
The Aviator,the aviator,1985.0,20.0,41.0,5.0,239.0,Rotten,Spilled
